,Action_Performed,Action_Performed_Bet,Chips,Current_Bet,Draws,Five_Card_Rank_Percentage,Hand_Class,Hand_Rank,Last_Action,Last_Action_Bet,Round_Result,Round_Result_Chips
0,5,180,180,10,0,0.6234253551326722,1,4652,-1,0,1,390
0,3,16,570,10,0,0.7709729295095149,1,5753,-1,0,0,-56
0,5,482,482,10,0,0.35700884481372286,2,2664,-1,0,0,-492
0,5,0,0,0,0,0.9961136424551059,0,7433,-1,0,1,994
0,5,180,180,10,0,0.8976145805414099,0,6698,-1,0,0,-190
0,3,17,216,10,0,0.8019297775395337,1,5984,-1,0,0,-17
0,5,199,199,10,0,0.956982042347896,0,7141,-1,0,0,-209
