,Chips,Current_Bet,Draws,Last_Action,Last_Action_Bet
0,190,10,0,0,0
0,180,10,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,190,10,0,1,0
0,190,10,0,-1,0
0,190,10,0,-1,0
0,190,10,0,-1,0
0,600,10,0,0,0
0,590,10,0,-1,0
0,570,10,0,0,0
0,560,10,0,-1,0
0,540,10,0,0,0
0,530,10,0,-1,0
0,490,20,0,0,0
0,190,10,0,-1,0
0,236,10,0,-1,0
0,322,10,0,-1,0
0,312,20,1,2,20
0,302,10,0,-1,0
0,388,10,0,-1,0
0,448,10,0,-1,0
0,476,10,0,-1,0
0,556,10,0,-1,0
0,528,38,1,2,38
0,508,20,0,-1,0
0,508,20,0,-1,0
