,Chips,Current_Bet,Draws,Last_Action,Last_Action_Bet
0,0,200,0,5,200
0,388,32,0,4,32
0,332,88,0,4,88
0,459,17,0,3,17
0,0,476,0,5,476
0,180,20,0,2,20
0,170,10,0,0,0
0,159,11,0,3,11
0,190,10,0,0,0
0,179,21,0,3,21
0,0,179,0,5,179
