,Chips,Current_Bet,Draws,Last_Action,Last_Action_Bet
0,214,23,0,4,23
0,235,18,0,3,18
0,190,10,1,1,0
0,0,190,0,5,190
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,181,19,0,3,19
0,184,16,0,3,16
0,174,26,1,3,26
0,146,15,0,3,15
0,147,14,0,3,14
0,119,42,0,4,42
0,117,44,1,3,44
0,102,15,0,3,15
0,98,29,0,4,29
0,0,254,0,5,254
0,243,21,0,3,21
0,0,274,0,5,274
0,0,284,0,5,284
0,282,22,0,3,22
0,277,27,0,3,27
0,169,39,1,3,39
0,141,67,1,4,67
0,0,122,0,5,122
0,183,17,0,3,17
0,0,200,0,5,200
0,0,200,0,5,200
0,0,218,0,5,218
0,208,20,1,3,20
0,0,200,1,5,200
0,195,24,0,4,24
0,176,43,1,4,43
0,0,176,0,5,176
0,0,186,1,5,186
0,0,196,0,5,196
0,368,16,0,3,16
0,348,20,0,3,20
0,323,13,0,3,13
0,0,336,1,5,336
0,0,200,0,5,200
0,0,200,0,5,200
0,180,20,0,3,20
0,0,200,0,5,200
0,0,200,0,5,200
0,185,15,0,3,15
0,0,200,1,5,200
0,189,11,0,3,11
0,184,16,0,3,16
0,171,19,1,3,19
0,0,171,0,5,171
0,0,332,0,5,332
0,0,264,0,5,264
0,0,274,0,5,274
0,255,29,0,4,29
0,0,301,0,5,301
0,160,30,1,3,30
0,0,160,0,5,160
0,0,200,0,5,200
0,184,16,0,3,16
0,166,14,0,3,14
0,189,11,0,3,11
0,182,18,1,3,18
0,0,200,1,5,200
0,0,200,0,5,200
0,203,13,0,3,13
0,4,28,0,4,28
0,187,13,1,3,13
0,0,210,0,5,210
0,184,16,0,3,16
0,0,200,1,5,200
0,0,200,0,5,200
0,0,210,0,5,210
0,212,15,0,3,15
0,198,29,1,3,29
0,0,200,0,5,200
0,0,200,0,5,200
0,170,20,0,3,20
0,339,21,0,3,21
0,0,339,0,5,339
0,332,18,0,3,18
0,184,16,0,3,16
0,0,200,1,5,200
0,196,20,0,3,20
0,162,54,0,4,54
0,0,162,0,5,162
0,176,14,0,3,14
0,157,33,0,4,33
0,146,44,1,3,44
0,186,14,0,3,14
0,0,200,0,5,200
0,0,200,0,5,200
0,180,30,0,4,30
0,0,156,0,5,156
0,154,12,1,3,12
0,0,141,0,5,141
0,0,190,0,5,190
0,0,188,1,5,188
0,183,15,0,3,15
0,0,162,0,5,162
0,0,200,0,5,200
0,0,179,0,5,179
0,340,20,0,3,20
0,176,24,0,4,24
0,143,23,1,3,23
0,0,200,0,5,200
0,0,200,0,5,200
0,164,36,0,4,36
0,156,44,1,3,44
0,0,200,0,5,200
0,200,18,0,4,18
0,0,218,0,5,218
0,0,16,0,5,16
0,0,12,0,5,12
0,190,10,0,0,0
0,0,200,0,5,200
0,0,200,0,5,200
0,0,200,0,5,200
0,190,10,0,1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
