,Action_Performed,Action_Performed_Bet,Ante,Chips,Current_Bet,Draws,Five_Card_Rank_Percentage,Hand_Class,Hand_Rank,Last_Action,Last_Action_Bet,Round_Result,Round_Result_Chips
0,4,33,10,174,10,0,0.42964352720450283,2,3206,-1,0,1,54
0,5,151,10,151,33,0,0.42964352720450283,2,3206,4,33,1,54
0,2,162,10,228,10,0,0.925891181988743,0,6909,1,0,0,-162
0,4,19,10,200,10,0,0.33034039131600107,3,2465,-1,0,0,-56
0,2,33,10,191,19,0,0.33034039131600107,3,2465,4,19,0,-56
0,4,56,10,177,33,2,0.3259179844545698,3,2432,2,33,0,-56
0,0,0,10,190,10,0,0.5418118466898955,1,4043,-1,0,0,-10
0,5,190,10,190,10,0,0.7508710801393729,1,5603,-1,0,1,200
0,0,0,10,190,10,0,0.5483784508174752,1,4092,-1,0,0,-10
0,4,54,10,175,15,0,0.4833824711873492,1,3607,3,15,1,54
0,0,0,10,234,10,0,0.5121951219512195,1,3822,-1,0,0,-10
0,4,16,10,224,10,3,0.39480032162958995,2,2946,1,0,1,12
0,5,217,10,217,16,0,0.6077459126239614,1,4535,3,16,1,167
0,0,0,10,200,10,0,0.8402573036719378,0,6270,1,0,0,-10
0,0,0,10,178,10,5,0.9606003752345216,0,7168,1,0,0,-10
0,4,24,10,168,10,0,0.5159474671669794,1,3850,-1,0,1,26
0,2,162,10,228,10,0,0.8263200214419727,1,6166,-1,0,1,162
0,5,190,10,190,10,0,0.8717502010184937,0,6505,-1,0,0,-200
0,5,-21,10,-21,0,0,0.9541677834360761,0,7120,-1,0,1,421
0,0,0,10,0,0,0,0.60801393728223,1,4537,1,0,0,0
0,5,183,10,183,17,0,0.7603859555079068,1,5674,3,17,1,24
0,0,0,10,218,16,3,0.4544358080943447,1,3391,3,16,0,-16
0,5,190,10,190,10,0,0.2877244706512999,3,2147,-1,0,1,200
0,0,0,10,190,10,0,0.5482444384883409,1,4091,-1,0,0,-10
0,2,36,10,182,18,0,0.9961136424551059,0,7433,3,18,1,44
0,4,61,10,164,36,5,0.4666309300455642,1,3482,2,36,1,44
0,0,0,10,182,18,0,0.8779147681586706,0,6551,3,18,0,-18
0,4,33,10,170,12,0,0.8997587778075583,0,6714,3,12,0,-182
0,5,149,10,149,33,0,0.8997587778075583,0,6714,4,33,0,-182
0,2,16,10,374,10,0,0.8123827392120075,1,6062,-1,0,0,-16
0,5,378,10,378,10,0,0.89292414902171,0,6663,1,0,1,12
0,4,14,10,190,10,0,0.3903779147681587,2,2913,-1,0,0,-10
0,4,14,10,190,10,0,0.8893058161350844,0,6636,-1,0,0,-10
0,5,190,10,190,10,0,0.9439828464218708,0,7044,-1,0,0,-200
0,1,0,10,190,10,0,0.6642991155186277,1,4957,-1,0,0,-10
0,5,190,10,190,10,0,0.6975341731439293,1,5205,-1,0,1,420
0,4,32,10,610,10,0,0.9529616724738676,0,7111,-1,0,1,200
0,4,354,10,588,32,0,0.9529616724738676,0,7111,4,32,1,200
